id, x, y
1,-0.6926631227130079,1.0516470587616604,
3,-2.5521972401949866,-0.6016086297016465,
7,0.13227401634327263,-0.8901778275202694,
8,-0.37749178012011503,1.803734802975026,
9,2.3272515403705993,1.379086369113595,
12,0.09533812084486255,1.4926839589159406,
21,-0.5885355547594082,2.544859459434844,
39,0.6311986492252191,1.3087323852961394,

current id, accessible id, distance
start,1,[1.2649285],
start,12,[1.4957708],
start,21,[2.61228074],
1,39,[1.11673766],
1,12,[1.4957708],
1,21,[2.61228074],
39,12,[1.4957708],
39,21,[2.61228074],
12,8,[1.49284622],
12,21,[2.61228074],
8,3,[3.26230917],
3,7,[2.35285687],
3,9,[4.84304383],

